uuid,ingestion_ts,price,symbol,threshold,trade_ts,volume,window_size
912b81b8-99ad-4643-ad86-4f71f586d594,2024-12-14 22:27:50.001+0000,101155.190000000002,BINANCE:BTCUSDT,3,2024-12-14 22:27:47.440+0000,0.00086,7
b136ca05-cbee-4e23-b075-41a710e189e7,2024-12-14 22:36:00.001+0000,101111.110000000001,BINANCE:BTCUSDT,3,2024-12-14 22:35:56.118+0000,0.01535,7
1602f59a-e483-421f-b9b5-9a34b52ce6b7,2024-12-14 22:14:50.002+0000,100896.380000000005,BINANCE:BTCUSDT,3,2024-12-14 22:14:43.452+0000,0.00057,7
e7801a71-58d3-427d-9cc6-9969a8674795,2024-12-14 22:32:25.001+0000,101097.669999999998,BINANCE:BTCUSDT,3,2024-12-14 22:32:20.223+0000,6e-05,7
c73abb38-0eb9-46db-9b4c-ad2efc040a66,2024-12-14 22:09:25.002+0000,101096.009999999995,BINANCE:BTCUSDT,3,2024-12-14 22:09:21.697+0000,8e-05,7
7685f6dd-dd00-44e5-8897-321c4599c2d2,2024-12-14 22:44:25.001+0000,101234.710000000006,BINANCE:BTCUSDT,3,2024-12-14 22:44:21.823+0000,0.00055,7
feb4829d-0d86-48d1-b75c-21bd8b459038,2024-12-14 22:21:50.001+0000,100952.529999999999,BINANCE:BTCUSDT,3,2024-12-14 22:21:46.167+0000,0.0001,7
27b030c2-c271-4b51-9efd-0bb29276e57e,2024-12-14 22:03:15.003+0000,101125.059999999998,BINANCE:BTCUSDT,3,2024-12-14 22:03:12.694+0000,7e-05,7
f6d7ca27-59cc-4604-9216-f2da5299755c,2024-12-14 22:03:45.012+0000,101127.990000000005,BINANCE:BTCUSDT,3,2024-12-14 22:03:43.740+0000,8e-05,7
ef8e950a-262a-4af3-bf4d-bfa13aa93bd2,2024-12-14 22:09:25.002+0000,101096.009999999995,BINANCE:BTCUSDT,3,2024-12-14 22:09:21.697+0000,8e-05,7
cfd6cba5-9161-4a15-b872-21c913f18a2a,2024-12-14 22:21:50.001+0000,100952,BINANCE:BTCUSDT,3,2024-12-14 22:21:46.165+0000,0.00491,7
57f24491-19d0-4760-91f1-13adea00b326,2024-12-14 22:51:50.001+0000,101187.979999999996,BINANCE:BTCUSDT,3,2024-12-14 22:51:46.750+0000,0.00491,7
